line: 0; - real tweet; 81.822115% confidence 
line: 2; - real tweet; 97.618437% confidence 
line: 3; - real tweet; 61.533666% confidence 
line: 9; - real tweet; 63.647836% confidence 
line: 11; - real tweet; 99.630237% confidence 
line: 12; - real tweet; 67.170459% confidence 
line: 21; - fake tweet; 99.486876% confidence 
line: 22; - fake tweet; 98.347694% confidence 
line: 27; - fake tweet; 99.043101% confidence 
line: 29; - fake tweet; 82.508957% confidence 
line: 30; - fake tweet; 95.949459% confidence 
line: 35; - fake tweet; 79.771698% confidence 
line: 42; - fake tweet; 93.813270% confidence 
line: 43; - fake tweet; 91.554302% confidence 
line: 45; - fake tweet; 98.074681% confidence 
line: 46; - fake tweet; 85.421097% confidence 
line: 47; - fake tweet; 94.823271% confidence 
line: 51; - real tweet; 92.909628% confidence 
line: 58; - fake tweet; 94.063139% confidence 
line: 60; - fake tweet; 90.645361% confidence 
line: 69; - fake tweet; 93.574083% confidence 
line: 70; - fake tweet; 63.621092% confidence 
line: 72; - fake tweet; 78.348356% confidence 
line: 75; - real tweet; 99.547476% confidence 
line: 84; - fake tweet; 88.821554% confidence 
line: 87; - fake tweet; 90.645361% confidence 
line: 88; - fake tweet; 97.454530% confidence 
line: 90; - fake tweet; 96.496058% confidence 
line: 94; - fake tweet; 99.112868% confidence 
line: 99; - fake tweet; 90.645361% confidence 
line: 101; - fake tweet; 93.115813% confidence 
line: 103; - real tweet; 79.894739% confidence 
line: 106; - real tweet; 88.108152% confidence 
line: 108; - fake tweet; 86.718911% confidence 
line: 111; - real tweet; 99.086565% confidence 
line: 115; - fake tweet; 98.864228% confidence 
line: 116; - fake tweet; 50.407422% confidence 
line: 122; - fake tweet; 90.645361% confidence 
line: 123; - fake tweet; 73.754543% confidence 
line: 124; - fake tweet; 79.238820% confidence 
line: 125; - fake tweet; 90.645361% confidence 
line: 127; - fake tweet; 92.979079% confidence 
line: 140; - fake tweet; 66.062361% confidence 
line: 142; - real tweet; 98.170793% confidence 
line: 147; - fake tweet; 56.840843% confidence 
